Date,Open,High,Low,Close,Volume
2020-12-28 18:00:00,731.75,739.0,690.22,732.41,4720.26647946
2020-12-29 18:00:00,734.49,759.0,718.64,752.78,4178.71337133
2020-12-30 18:00:00,752.29,755.5,722.41,737.47,2961.67077553
2020-12-31 18:00:00,735.91,748.89,715.85,728.52,2185.35180044
2021-01-01 18:00:00,730.25,786.8,715.01,775.43,5996.7695934
2021-01-02 18:00:00,774.95,1008.82,770.08,976.55,13475.56907766
2021-01-03 18:00:00,978.26,1160.0,876.31,1039.66,21131.77512678
2021-01-04 18:00:00,1043.33,1131.93,976.22,1099.7,9666.57990286
2021-01-05 18:00:00,1101.05,1293.55,1058.5,1207.22,7659.34895691
2021-01-06 18:00:00,1212.36,1287.49,1158.0,1223.99,10388.02905532
2021-01-07 18:00:00,1225.0,1271.28,995.0,1219.93,10356.39260894
2021-01-08 18:00:00,1217.89,1301.2,1173.38,1276.71,5492.15510786
2021-01-09 18:00:00,1278.37,1347.98,1161.92,1256.54,10119.02268566
2021-01-10 18:00:00,1256.06,1258.64,914.68,1083.54,18580.82610714
2021-01-11 18:00:00,1084.75,1150.28,1005.26,1050.71,9901.59383531
2021-01-12 18:00:00,1044.74,1135.02,990.0,1130.13,5000.34750552
2021-01-13 18:00:00,1132.79,1245.95,1086.78,1231.76,6010.55888229
2021-01-14 18:00:00,1234.74,1253.65,1071.3,1168.63,5149.08966568
2021-01-15 18:00:00,1173.04,1292.91,1154.45,1229.09,7516.45617436
2021-01-16 18:00:00,1229.08,1267.96,1167.25,1233.94,3998.77640479
2021-01-17 18:00:00,1233.96,1260.0,1183.82,1258.1,2436.83187623
2021-01-18 18:00:00,1259.19,1438.08,1253.15,1365.12,12207.82538431
2021-01-19 18:00:00,1366.59,1406.58,1234.77,1378.12,13078.86951231
2021-01-20 18:00:00,1384.72,1387.14,1085.01,1111.9,7122.71667042
2021-01-21 18:00:00,1115.14,1273.36,1023.31,1236.9,7243.17608842
2021-01-22 18:00:00,1233.63,1270.74,1196.58,1231.81,2423.64365968
2021-01-23 18:00:00,1232.84,1397.9,1223.0,1389.68,6486.47147262
2021-01-24 18:00:00,1390.73,1474.22,1295.0,1319.4,14606.92837486
2021-01-25 18:00:00,1316.71,1380.0,1247.0,1365.5,5706.61074616
2021-01-26 18:00:00,1365.91,1371.97,1207.47,1240.8,7718.61572771
2021-01-27 18:00:00,1238.65,1358.37,1219.24,1330.0,6631.71722259
2021-01-28 18:00:00,1327.67,1438.43,1288.95,1377.92,5886.45381791
2021-01-29 18:00:00,1383.57,1400.0,1328.26,1374.0,1640.78373695
2021-01-30 18:00:00,1377.48,1379.07,1283.76,1315.94,2291.60203853
2021-01-31 18:00:00,1312.12,1376.04,1270.4,1368.29,3121.42620414
2021-02-01 18:00:00,1375.08,1559.67,1363.52,1512.17,17833.40847845
2021-02-02 18:00:00,1513.4,1669.78,1505.0,1663.73,8549.89223364
2021-02-03 18:00:00,1668.66,1695.39,1558.0,1597.05,4933.0758771
2021-02-04 18:00:00,1597.13,1769.0,1590.7,1720.58,5265.41070585
2021-02-05 18:00:00,1720.61,1742.87,1645.4,1677.82,3249.3563294
2021-02-06 18:00:00,1678.77,1692.09,1490.11,1614.53,3964.03737922
2021-02-07 18:00:00,1611.89,1774.0,1565.58,1750.01,6004.26319016
2021-02-08 18:00:00,1751.53,1819.08,1711.04,1770.13,3385.86779445
2021-02-09 18:00:00,1770.13,1835.39,1681.0,1741.59,3874.17593857
2021-02-10 18:00:00,1740.13,1817.14,1704.45,1786.45,2937.8452107
2021-02-11 18:00:00,1785.69,1861.81,1735.0,1840.94,3121.72957996
2021-02-12 18:00:00,1844.49,1868.16,1765.54,1815.22,1943.28282457
2021-02-13 18:00:00,1815.6,1849.95,1785.17,1801.44,1666.84392041
2021-02-14 18:00:00,1805.75,1834.57,1652.0,1777.87,8749.1689166
2021-02-15 18:00:00,1778.4,1825.24,1725.43,1781.12,2832.31201017
2021-02-16 18:00:00,1781.12,1853.39,1735.37,1847.27,5595.09626539
2021-02-17 18:00:00,1850.16,1950.0,1850.16,1938.36,4176.94374321
2021-02-18 18:00:00,1941.38,1971.01,1893.28,1955.14,2762.50059883
2021-02-19 18:00:00,1959.92,2040.37,1820.0,1915.24,11154.48443428
2021-02-20 18:00:00,1913.14,1974.67,1880.0,1933.39,5871.0213965
2021-02-21 18:00:00,1935.27,1935.27,1120.0,1780.25,20356.81002375
2021-02-22 18:00:00,1777.37,1780.87,1351.0,1577.99,17248.32227345
2021-02-23 18:00:00,1561.68,1720.0,1504.62,1623.2,7642.17538391
2021-02-24 18:00:00,1624.32,1671.74,1460.0,1477.72,3438.12021773
2021-02-25 18:00:00,1482.4,1561.81,1401.0,1442.67,10077.90017423
2021-02-26 18:00:00,1444.41,1526.21,1426.5,1457.89,3428.07143409
2021-02-27 18:00:00,1458.21,1467.82,1295.89,1418.28,4586.72369347
